EffectiveDate,Spaces,Borough,Category,Name,Description,ReferenceURL,Source
2019/8/1,-400,Manhattan,On-Street Parking,Central Park West Protected Bike Lanes and Traffic Calming,,https://www1.nyc.gov/html/dot/downloads/pdf/central-park-west-cb7-jun2019.pdf,DOT
2019/9/1,-1,Manhattan,On-Street Parking,8th Avenue – 38th St to 45th St,,https://www1.nyc.gov/html/dot/downloads/pdf/8th-ave-cb4-jun2019.pdf,DOT
2019/9/1,7,Queens,On-Street Parking,Rockaway Beach Blvd Improvements,,https://www1.nyc.gov/html/dot/downloads/pdf/rockaway-beach-blvd-jun2019.pdf,DOT
2019/9/1,-203,Manhattan,On-Street Parking,52nd Street and 55th Street Midtown Crosstown Protected Bike Lanes,,https://www1.nyc.gov/html/dot/downloads/pdf/52-st-55-st-mar2019.pdf,DOT
2019/7/10,10,Manhattan,On-Street Parking,5th Ave 22nd-16th St Offset Crossing Conversion,,https://twitter.com/NYC_DOT/status/1146135592033509380,DOT
